# Time 8,KK,Kpp,P,K,Kp,K_KK,Kp_KK,Kpp_P,Kp_P,KKa,Pa
181.5001411857,169,418,171,404,119,122,9,117,12,0,0
182.0001415744,185,451,181,408,108,105,10,106,13,0,0
182.5001419630,202,433,171,439,102,89,9,114,15,0,0
183.0001423517,172,427,181,411,116,121,7,107,12,0,0
183.5001427404,161,413,185,414,120,127,12,104,11,0,0
184.0001431290,182,408,182,436,121,106,12,107,11,0,0
184.5001435177,153,390,175,427,112,125,22,115,10,0,0
185.0001439064,169,397,184,437,120,121,10,107,9,0,0
185.5001442950,186,390,167,453,111,103,11,124,9,0,0
186.0001446837,179,409,179,437,113,109,12,116,5,0,0
186.5001450724,181,415,176,437,106,114,5,110,14,0,0
187.0001454611,182,377,167,446,127,111,7,124,9,0,0
187.5001458497,180,422,195,436,118,109,11,96,9,0,0
188.0001462384,174,411,189,425,128,115,11,105,6,0,0
188.5001466271,188,391,168,445,121,104,8,120,12,0,0
189.0001470157,163,409,181,430,106,117,20,110,9,0,0
189.5001474044,164,412,168,415,106,126,10,113,19,0,0
190.0001477931,174,407,182,430,120,119,7,110,8,0,0
190.5001481817,181,408,187,434,127,109,10,101,12,0,0
191.0001485704,177,411,192,443,116,116,7,97,11,0,0
191.5001489591,176,389,174,437,125,111,13,117,9,0,0
192.0001493477,185,421,190,440,115,103,12,98,12,0,0
192.5001497364,176,414,180,442,101,106,18,108,12,0,0
193.0001501251,176,405,167,432,107,118,6,126,7,0,0
193.5001505137,177,394,168,434,118,109,14,123,9,0,0
194.0001509024,178,392,163,423,127,115,7,124,13,0,0
194.5001512911,173,394,165,430,115,117,10,122,13,0,0
195.0001516797,177,419,176,418,117,113,10,110,14,0,0
195.5001520684,190,425,174,422,118,101,9,116,10,0,0
196.0001524571,168,422,175,415,107,121,11,117,8,0,0
196.5001528457,173,423,170,409,112,117,10,115,15,0,0
197.0001532344,174,426,181,400,130,112,14,110,9,0,0
197.5001536231,186,436,184,413,122,107,7,103,13,0,0
198.0001540117,180,416,167,412,120,109,11,121,12,0,0
198.5001544004,178,419,172,401,131,110,12,117,11,0,0
199.0001547891,170,430,184,399,126,113,17,110,6,0,0
199.5001551777,195,435,169,406,124,95,10,123,8,0,0
200.0001555664,177,445,181,397,117,109,14,108,11,0,0
200.5001559551,178,440,175,397,117,113,9,113,12,0,0
201.0001563437,193,436,177,420,115,100,7,114,9,0,0
201.5001567324,184,419,174,406,134,107,9,116,10,0,0
202.0001571211,184,399,167,417,136,104,12,122,11,0,0
202.5001575097,182,405,188,436,130,109,9,100,12,0,0
203.0001578984,174,396,177,431,125,117,9,111,12,0,0
203.5001582871,185,413,181,427,127,106,9,104,15,0,0
204.0001586757,183,425,175,422,112,107,10,109,16,0,0
204.5001590644,179,423,167,409,115,108,13,119,14,0,0
205.0001594531,187,438,176,420,106,102,11,112,12,0,0
205.5001598417,182,446,182,413,106,109,9,107,11,0,0
206.0001602304,186,459,175,399,104,109,5,112,13,0,0
206.5001606191,167,430,169,382,125,121,12,120,11,0,0
207.0001610077,165,426,167,385,122,125,10,120,13,0,0
207.5001613964,178,426,177,416,114,108,14,114,9,0,0
208.0001617851,179,440,185,422,103,109,12,99,16,0,0
208.5001621737,175,425,178,420,109,113,12,117,5,0,0
209.0001625624,161,419,169,396,116,124,15,120,11,0,0
209.5001629511,178,422,176,420,113,110,12,112,12,0,0
210.0001633397,184,432,173,431,95,104,12,116,11,0,0
210.5001637284,185,433,167,391,129,103,12,122,11,0,0
211.0001641171,187,433,177,387,145,102,11,103,20,0,0
211.5001645057,180,440,181,398,124,111,9,112,7,0,0
212.0001648944,175,426,161,392,119,114,11,128,11,0,0
212.5001652831,181,438,184,408,120,106,13,106,10,0,0
213.0001656717,186,426,187,403,145,103,11,105,8,0,0
213.5001660604,166,440,183,392,118,115,19,107,10,0,0
214.0001664491,169,440,182,388,124,116,15,108,10,0,0
214.5001668377,160,428,181,377,137,126,14,109,10,0,0
215.0001672264,180,454,181,392,116,110,10,109,10,0,0
215.5001676151,184,455,182,407,105,106,10,110,8,0,0
216.0001680038,171,426,183,401,128,117,12,111,6,0,0
216.5001683924,175,421,181,408,128,112,13,107,12,0,0
217.0001687811,178,420,190,415,134,111,11,103,7,0,0
217.5001691698,181,406,170,430,116,103,16,124,6,0,0
218.0001695584,175,419,163,396,124,111,14,119,18,0,0
218.5001699471,173,434,179,423,96,110,17,113,8,0,0
219.0001703358,194,425,175,417,128,98,8,115,10,0,0
219.5001707244,168,426,187,392,138,113,19,101,12,0,0
220.0001711131,177,423,174,412,117,106,17,112,14,0,0
220.5001715018,168,431,184,421,101,120,12,105,11,0,0
221.0001718904,173,437,180,416,101,114,13,107,13,0,0
221.5001722791,183,428,173,419,110,101,16,113,14,0,0
222.0001726678,178,437,175,412,105,117,5,112,13,0,0
222.5001730564,180,411,169,405,134,109,11,125,6,0,0
223.0001734451,168,430,176,400,115,127,5,110,14,0,0
223.5001738338,185,421,182,400,147,101,14,110,8,0,0
224.0001742224,182,420,179,409,133,103,15,114,7,0,0
